n;block;y;u
0;0;0;0.250000000000
1;0;0;0.487764129074
2;0;0;0.396946313073
3;0;0;0.103053686927
4;0;0;0.012235870926
5;1;1;0.450000000000
6;1;1;0.450000000000
7;1;1;0.450000000000
8;1;1;0.050000000000
9;1;1;0.050000000000
10;2;0;0.250000000000
11;2;0;0.487764129074
12;2;0;0.396946313073
13;2;0;0.103053686927
14;2;0;0.012235870926
15;3;1;0.450000000000
16;3;1;0.450000000000
17;3;1;0.450000000000
18;3;1;0.050000000000
19;3;1;0.050000000000
20;4;2;0.050000000000
21;4;2;0.250000000000
22;4;2;0.450000000000
23;4;2;0.250000000000
24;4;2;0.050000000000
25;5;1;0.450000000000
26;5;1;0.450000000000
27;5;1;0.450000000000
28;5;1;0.050000000000
29;5;1;0.050000000000
30;6;2;0.050000000000
31;6;2;0.250000000000
32;6;2;0.450000000000
33;6;2;0.250000000000
34;6;2;0.050000000000
35;7;0;0.250000000000
36;7;0;0.487764129074
37;7;0;0.396946313073
38;7;0;0.103053686927
39;7;0;0.012235870926
40;8;2;0.050000000000
41;8;2;0.250000000000
42;8;2;0.450000000000
43;8;2;0.250000000000
44;8;2;0.050000000000
45;9;0;0.250000000000
46;9;0;0.487764129074
47;9;0;0.396946313073
48;9;0;0.103053686927
49;9;0;0.012235870926
50;10;0;0.250000000000
51;10;0;0.487764129074
52;10;0;0.396946313073
53;10;0;0.103053686927
54;10;0;0.012235870926
55;11;1;0.450000000000
56;11;1;0.450000000000
57;11;1;0.450000000000
58;11;1;0.050000000000
59;11;1;0.050000000000
60;12;0;0.250000000000
61;12;0;0.487764129074
62;12;0;0.396946313073
63;12;0;0.103053686927
64;12;0;0.012235870926
65;13;1;0.450000000000
66;13;1;0.450000000000
67;13;1;0.450000000000
68;13;1;0.050000000000
69;13;1;0.050000000000
70;14;1;0.450000000000
71;14;1;0.450000000000
72;14;1;0.450000000000
73;14;1;0.050000000000
74;14;1;0.050000000000
75;15;1;0.450000000000
76;15;1;0.450000000000
77;15;1;0.450000000000
78;15;1;0.050000000000
79;15;1;0.050000000000
80;16;2;0.050000000000
81;16;2;0.250000000000
82;16;2;0.450000000000
83;16;2;0.250000000000
84;16;2;0.050000000000
85;17;1;0.450000000000
86;17;1;0.450000000000
87;17;1;0.450000000000
88;17;1;0.050000000000
89;17;1;0.050000000000
90;18;2;0.050000000000
91;18;2;0.250000000000
92;18;2;0.450000000000
93;18;2;0.250000000000
94;18;2;0.050000000000
95;19;2;0.050000000000
96;19;2;0.250000000000
97;19;2;0.450000000000
98;19;2;0.250000000000
99;19;2;0.050000000000
100;20;0;0.250000000000
101;20;0;0.487764129074
102;20;0;0.396946313073
103;20;0;0.103053686927
104;20;0;0.012235870926
105;21;1;0.450000000000
106;21;1;0.450000000000
107;21;1;0.450000000000
108;21;1;0.050000000000
109;21;1;0.050000000000
110;22;0;0.250000000000
111;22;0;0.487764129074
112;22;0;0.396946313073
113;22;0;0.103053686927
114;22;0;0.012235870926
115;23;0;0.250000000000
116;23;0;0.487764129074
117;23;0;0.396946313073
118;23;0;0.103053686927
119;23;0;0.012235870926
120;24;2;0.050000000000
121;24;2;0.250000000000
122;24;2;0.450000000000
123;24;2;0.250000000000
124;24;2;0.050000000000
125;25;2;0.050000000000
126;25;2;0.250000000000
127;25;2;0.450000000000
128;25;2;0.250000000000
129;25;2;0.050000000000
130;26;0;0.250000000000
131;26;0;0.487764129074
132;26;0;0.396946313073
133;26;0;0.103053686927
134;26;0;0.012235870926
135;27;0;0.250000000000
136;27;0;0.487764129074
137;27;0;0.396946313073
138;27;0;0.103053686927
139;27;0;0.012235870926
140;28;2;0.050000000000
141;28;2;0.250000000000
142;28;2;0.450000000000
143;28;2;0.250000000000
144;28;2;0.050000000000
145;29;1;0.450000000000
146;29;1;0.450000000000
147;29;1;0.450000000000
148;29;1;0.050000000000
149;29;1;0.050000000000
150;30;1;0.450000000000
151;30;1;0.450000000000
152;30;1;0.450000000000
153;30;1;0.050000000000
154;30;1;0.050000000000
155;31;2;0.050000000000
156;31;2;0.250000000000
157;31;2;0.450000000000
158;31;2;0.250000000000
159;31;2;0.050000000000
160;32;2;0.050000000000
161;32;2;0.250000000000
162;32;2;0.450000000000
163;32;2;0.250000000000
164;32;2;0.050000000000
165;33;1;0.450000000000
166;33;1;0.450000000000
167;33;1;0.450000000000
168;33;1;0.050000000000
169;33;1;0.050000000000
170;34;2;0.050000000000
171;34;2;0.250000000000
172;34;2;0.450000000000
173;34;2;0.250000000000
174;34;2;0.050000000000
175;35;0;0.250000000000
176;35;0;0.487764129074
177;35;0;0.396946313073
178;35;0;0.103053686927
179;35;0;0.012235870926
180;36;2;0.050000000000
181;36;2;0.250000000000
182;36;2;0.450000000000
183;36;2;0.250000000000
184;36;2;0.050000000000
185;37;0;0.250000000000
186;37;0;0.487764129074
187;37;0;0.396946313073
188;37;0;0.103053686927
189;37;0;0.012235870926
190;38;0;0.250000000000
191;38;0;0.487764129074
192;38;0;0.396946313073
193;38;0;0.103053686927
194;38;0;0.012235870926
195;39;1;0.450000000000
196;39;1;0.450000000000
197;39;1;0.450000000000
198;39;1;0.050000000000
199;39;1;0.050000000000
