n;block;class;phase;u
0;0;1;0;0.500000000000
1;0;1;0;0.426776695297
2;0;1;0;0.426776695297
3;0;1;0;0.250000000000
4;0;1;0;0.250000000000
5;0;1;0;0.073223304703
6;0;1;0;0.073223304703
7;0;1;0;0.000000000000
8;1;1;3;0.250000000000
9;1;1;3;0.250000000000
10;1;1;3;0.073223304703
11;1;1;3;0.073223304703
12;1;1;3;0.000000000000
13;1;1;3;0.500000000000
14;1;1;3;0.426776695297
15;1;1;3;0.426776695297
16;2;2;2;0.250000000000
17;2;2;2;0.426776695297
18;2;2;2;0.500000000000
19;2;2;2;0.426776695297
20;2;2;2;0.250000000000
21;2;2;2;0.073223304703
22;2;2;2;0.000000000000
23;2;2;2;0.073223304703
24;3;0;2;0.500000000000
25;3;0;2;0.426776695297
26;3;0;2;0.250000000000
27;3;0;2;0.073223304703
28;3;0;2;0.000000000000
29;3;0;2;0.073223304703
30;3;0;2;0.250000000000
31;3;0;2;0.426776695297
32;4;1;7;0.000000000000
33;4;1;7;0.500000000000
34;4;1;7;0.426776695297
35;4;1;7;0.426776695297
36;4;1;7;0.250000000000
37;4;1;7;0.250000000000
38;4;1;7;0.073223304703
39;4;1;7;0.073223304703
40;5;2;4;0.500000000000
41;5;2;4;0.426776695297
42;5;2;4;0.250000000000
43;5;2;4;0.073223304703
44;5;2;4;0.000000000000
45;5;2;4;0.073223304703
46;5;2;4;0.250000000000
47;5;2;4;0.426776695297
48;6;0;7;0.073223304703
49;6;0;7;0.250000000000
50;6;0;7;0.426776695297
51;6;0;7;0.500000000000
52;6;0;7;0.426776695297
53;6;0;7;0.250000000000
54;6;0;7;0.073223304703
55;6;0;7;0.000000000000
56;7;0;6;0.000000000000
57;7;0;6;0.073223304703
58;7;0;6;0.250000000000
59;7;0;6;0.426776695297
60;7;0;6;0.500000000000
61;7;0;6;0.426776695297
62;7;0;6;0.250000000000
63;7;0;6;0.073223304703
64;8;2;1;0.073223304703
65;8;2;1;0.250000000000
66;8;2;1;0.426776695297
67;8;2;1;0.500000000000
68;8;2;1;0.426776695297
69;8;2;1;0.250000000000
70;8;2;1;0.073223304703
71;8;2;1;0.000000000000
72;9;1;3;0.250000000000
73;9;1;3;0.250000000000
74;9;1;3;0.073223304703
75;9;1;3;0.073223304703
76;9;1;3;0.000000000000
77;9;1;3;0.500000000000
78;9;1;3;0.426776695297
79;9;1;3;0.426776695297
80;10;0;5;0.073223304703
81;10;0;5;0.000000000000
82;10;0;5;0.073223304703
83;10;0;5;0.250000000000
84;10;0;5;0.426776695297
85;10;0;5;0.500000000000
86;10;0;5;0.426776695297
87;10;0;5;0.250000000000
88;11;2;3;0.426776695297
89;11;2;3;0.500000000000
90;11;2;3;0.426776695297
91;11;2;3;0.250000000000
92;11;2;3;0.073223304703
93;11;2;3;0.000000000000
94;11;2;3;0.073223304703
95;11;2;3;0.250000000000
96;12;0;7;0.073223304703
97;12;0;7;0.250000000000
98;12;0;7;0.426776695297
99;12;0;7;0.500000000000
100;12;0;7;0.426776695297
101;12;0;7;0.250000000000
102;12;0;7;0.073223304703
103;12;0;7;0.000000000000
104;13;0;0;0.250000000000
105;13;0;0;0.426776695297
106;13;0;0;0.500000000000
107;13;0;0;0.426776695297
108;13;0;0;0.250000000000
109;13;0;0;0.073223304703
110;13;0;0;0.000000000000
111;13;0;0;0.073223304703
112;14;0;2;0.500000000000
113;14;0;2;0.426776695297
114;14;0;2;0.250000000000
115;14;0;2;0.073223304703
116;14;0;2;0.000000000000
117;14;0;2;0.073223304703
118;14;0;2;0.250000000000
119;14;0;2;0.426776695297
120;15;1;1;0.426776695297
121;15;1;1;0.426776695297
122;15;1;1;0.250000000000
123;15;1;1;0.250000000000
124;15;1;1;0.073223304703
125;15;1;1;0.073223304703
126;15;1;1;0.000000000000
127;15;1;1;0.500000000000
128;16;1;6;0.073223304703
129;16;1;6;0.000000000000
130;16;1;6;0.500000000000
131;16;1;6;0.426776695297
132;16;1;6;0.426776695297
133;16;1;6;0.250000000000
134;16;1;6;0.250000000000
135;16;1;6;0.073223304703
136;17;0;3;0.426776695297
137;17;0;3;0.250000000000
138;17;0;3;0.073223304703
139;17;0;3;0.000000000000
140;17;0;3;0.073223304703
141;17;0;3;0.250000000000
142;17;0;3;0.426776695297
143;17;0;3;0.500000000000
144;18;1;0;0.500000000000
