n;block;class;phase;u
0;0;0;2;0.500000000000
1;0;0;2;0.426776695297
2;0;0;2;0.250000000000
3;0;0;2;0.073223304703
4;0;0;2;0.000000000000
5;0;0;2;0.073223304703
6;0;0;2;0.250000000000
7;0;0;2;0.426776695297
8;1;2;5;0.426776695297
9;1;2;5;0.426776695297
10;1;2;5;0.500000000000
11;1;2;5;0.000000000000
12;1;2;5;0.073223304703
13;1;2;5;0.073223304703
14;1;2;5;0.250000000000
15;1;2;5;0.250000000000
16;2;2;3;0.250000000000
17;2;2;3;0.250000000000
18;2;2;3;0.426776695297
19;2;2;3;0.426776695297
20;2;2;3;0.500000000000
21;2;2;3;0.000000000000
22;2;2;3;0.073223304703
23;2;2;3;0.073223304703
24;3;0;0;0.250000000000
25;3;0;0;0.426776695297
26;3;0;0;0.500000000000
27;3;0;0;0.426776695297
28;3;0;0;0.250000000000
29;3;0;0;0.073223304703
30;3;0;0;0.000000000000
31;3;0;0;0.073223304703
32;4;1;2;0.426776695297
33;4;1;2;0.250000000000
34;4;1;2;0.250000000000
35;4;1;2;0.073223304703
36;4;1;2;0.073223304703
37;4;1;2;0.000000000000
38;4;1;2;0.500000000000
39;4;1;2;0.426776695297
40;5;1;4;0.250000000000
41;5;1;4;0.073223304703
42;5;1;4;0.073223304703
43;5;1;4;0.000000000000
44;5;1;4;0.500000000000
45;5;1;4;0.426776695297
46;5;1;4;0.426776695297
47;5;1;4;0.250000000000
48;6;0;6;0.000000000000
49;6;0;6;0.073223304703
50;6;0;6;0.250000000000
51;6;0;6;0.426776695297
52;6;0;6;0.500000000000
53;6;0;6;0.426776695297
54;6;0;6;0.250000000000
55;6;0;6;0.073223304703
56;7;1;3;0.250000000000
57;7;1;3;0.250000000000
58;7;1;3;0.073223304703
59;7;1;3;0.073223304703
60;7;1;3;0.000000000000
61;7;1;3;0.500000000000
62;7;1;3;0.426776695297
63;7;1;3;0.426776695297
64;8;0;2;0.500000000000
65;8;0;2;0.426776695297
66;8;0;2;0.250000000000
67;8;0;2;0.073223304703
68;8;0;2;0.000000000000
69;8;0;2;0.073223304703
70;8;0;2;0.250000000000
71;8;0;2;0.426776695297
72;9;1;4;0.250000000000
73;9;1;4;0.073223304703
74;9;1;4;0.073223304703
75;9;1;4;0.000000000000
76;9;1;4;0.500000000000
77;9;1;4;0.426776695297
78;9;1;4;0.426776695297
79;9;1;4;0.250000000000
80;10;1;2;0.426776695297
81;10;1;2;0.250000000000
82;10;1;2;0.250000000000
83;10;1;2;0.073223304703
84;10;1;2;0.073223304703
85;10;1;2;0.000000000000
86;10;1;2;0.500000000000
87;10;1;2;0.426776695297
88;11;0;0;0.250000000000
89;11;0;0;0.426776695297
90;11;0;0;0.500000000000
91;11;0;0;0.426776695297
92;11;0;0;0.250000000000
93;11;0;0;0.073223304703
94;11;0;0;0.000000000000
95;11;0;0;0.073223304703
96;12;1;7;0.000000000000
97;12;1;7;0.500000000000
98;12;1;7;0.426776695297
99;12;1;7;0.426776695297
