n;block;class;phase;u
0;0;0;0;0.250000000000
1;0;0;0;0.426776695297
2;0;0;0;0.500000000000
3;0;0;0;0.426776695297
4;0;0;0;0.250000000000
5;0;0;0;0.073223304703
6;0;0;0;0.000000000000
7;0;0;0;0.073223304703
8;1;0;0;0.250000000000
9;1;0;0;0.426776695297
10;1;0;0;0.500000000000
11;1;0;0;0.426776695297
12;1;0;0;0.250000000000
13;1;0;0;0.073223304703
14;1;0;0;0.000000000000
15;1;0;0;0.073223304703
16;2;2;0;0.250000000000
17;2;2;0;0.250000000000
18;2;2;0;0.426776695297
19;2;2;0;0.426776695297
20;2;2;0;0.500000000000
21;2;2;0;0.000000000000
22;2;2;0;0.073223304703
23;2;2;0;0.073223304703
24;3;0;0;0.250000000000
25;3;0;0;0.426776695297
26;3;0;0;0.500000000000
27;3;0;0;0.426776695297
28;3;0;0;0.250000000000
29;3;0;0;0.073223304703
30;3;0;0;0.000000000000
31;3;0;0;0.073223304703
32;4;1;0;0.250000000000
33;4;1;0;0.250000000000
34;4;1;0;0.073223304703
35;4;1;0;0.073223304703
36;4;1;0;0.000000000000
37;4;1;0;0.500000000000
38;4;1;0;0.426776695297
39;4;1;0;0.426776695297
40;5;1;0;0.250000000000
41;5;1;0;0.250000000000
42;5;1;0;0.073223304703
43;5;1;0;0.073223304703
44;5;1;0;0.000000000000
45;5;1;0;0.500000000000
46;5;1;0;0.426776695297
47;5;1;0;0.426776695297
48;6;1;0;0.250000000000
49;6;1;0;0.250000000000
50;6;1;0;0.073223304703
51;6;1;0;0.073223304703
52;6;1;0;0.000000000000
53;6;1;0;0.500000000000
54;6;1;0;0.426776695297
55;6;1;0;0.426776695297
56;7;2;0;0.250000000000
57;7;2;0;0.250000000000
58;7;2;0;0.426776695297
59;7;2;0;0.426776695297
60;7;2;0;0.500000000000
61;7;2;0;0.000000000000
62;7;2;0;0.073223304703
63;7;2;0;0.073223304703
64;8;2;0;0.250000000000
65;8;2;0;0.250000000000
66;8;2;0;0.426776695297
67;8;2;0;0.426776695297
68;8;2;0;0.500000000000
69;8;2;0;0.000000000000
70;8;2;0;0.073223304703
71;8;2;0;0.073223304703
72;9;0;0;0.250000000000
73;9;0;0;0.426776695297
74;9;0;0;0.500000000000
75;9;0;0;0.426776695297
76;9;0;0;0.250000000000
77;9;0;0;0.073223304703
78;9;0;0;0.000000000000
79;9;0;0;0.073223304703
80;10;1;0;0.250000000000
81;10;1;0;0.250000000000
82;10;1;0;0.073223304703
83;10;1;0;0.073223304703
84;10;1;0;0.000000000000
85;10;1;0;0.500000000000
86;10;1;0;0.426776695297
87;10;1;0;0.426776695297
88;11;2;0;0.250000000000
89;11;2;0;0.250000000000
90;11;2;0;0.426776695297
91;11;2;0;0.426776695297
92;11;2;0;0.500000000000
93;11;2;0;0.000000000000
94;11;2;0;0.073223304703
95;11;2;0;0.073223304703
96;12;0;0;0.250000000000
97;12;0;0;0.426776695297
98;12;0;0;0.500000000000
99;12;0;0;0.426776695297
100;12;0;0;0.250000000000
101;12;0;0;0.073223304703
102;12;0;0;0.000000000000
103;12;0;0;0.073223304703
104;13;1;0;0.250000000000
105;13;1;0;0.250000000000
106;13;1;0;0.073223304703
107;13;1;0;0.073223304703
108;13;1;0;0.000000000000
109;13;1;0;0.500000000000
110;13;1;0;0.426776695297
111;13;1;0;0.426776695297
112;14;1;0;0.250000000000
113;14;1;0;0.250000000000
114;14;1;0;0.073223304703
115;14;1;0;0.073223304703
116;14;1;0;0.000000000000
117;14;1;0;0.500000000000
118;14;1;0;0.426776695297
119;14;1;0;0.426776695297
120;15;0;0;0.250000000000
121;15;0;0;0.426776695297
122;15;0;0;0.500000000000
123;15;0;0;0.426776695297
124;15;0;0;0.250000000000
125;15;0;0;0.073223304703
126;15;0;0;0.000000000000
127;15;0;0;0.073223304703
128;16;0;0;0.250000000000
129;16;0;0;0.426776695297
130;16;0;0;0.500000000000
131;16;0;0;0.426776695297
132;16;0;0;0.250000000000
133;16;0;0;0.073223304703
134;16;0;0;0.000000000000
135;16;0;0;0.073223304703
136;17;2;0;0.250000000000
137;17;2;0;0.250000000000
138;17;2;0;0.426776695297
139;17;2;0;0.426776695297
140;17;2;0;0.500000000000
141;17;2;0;0.000000000000
142;17;2;0;0.073223304703
143;17;2;0;0.073223304703
144;18;1;0;0.250000000000
145;18;1;0;0.250000000000
146;18;1;0;0.073223304703
147;18;1;0;0.073223304703
148;18;1;0;0.000000000000
149;18;1;0;0.500000000000
150;18;1;0;0.426776695297
151;18;1;0;0.426776695297
152;19;1;0;0.250000000000
153;19;1;0;0.250000000000
154;19;1;0;0.073223304703
155;19;1;0;0.073223304703
156;19;1;0;0.000000000000
157;19;1;0;0.500000000000
158;19;1;0;0.426776695297
159;19;1;0;0.426776695297
160;20;2;0;0.250000000000
161;20;2;0;0.250000000000
162;20;2;0;0.426776695297
163;20;2;0;0.426776695297
164;20;2;0;0.500000000000
165;20;2;0;0.000000000000
166;20;2;0;0.073223304703
167;20;2;0;0.073223304703
168;21;2;0;0.250000000000
169;21;2;0;0.250000000000
170;21;2;0;0.426776695297
171;21;2;0;0.426776695297
172;21;2;0;0.500000000000
173;21;2;0;0.000000000000
174;21;2;0;0.073223304703
175;21;2;0;0.073223304703
176;22;1;0;0.250000000000
177;22;1;0;0.250000000000
178;22;1;0;0.073223304703
179;22;1;0;0.073223304703
180;22;1;0;0.000000000000
181;22;1;0;0.500000000000
182;22;1;0;0.426776695297
183;22;1;0;0.426776695297
184;23;0;0;0.250000000000
185;23;0;0;0.426776695297
186;23;0;0;0.500000000000
187;23;0;0;0.426776695297
188;23;0;0;0.250000000000
189;23;0;0;0.073223304703
190;23;0;0;0.000000000000
191;23;0;0;0.073223304703
192;24;1;0;0.250000000000
193;24;1;0;0.250000000000
194;24;1;0;0.073223304703
195;24;1;0;0.073223304703
196;24;1;0;0.000000000000
197;24;1;0;0.500000000000
198;24;1;0;0.426776695297
199;24;1;0;0.426776695297
200;25;1;0;0.250000000000
201;25;1;0;0.250000000000
202;25;1;0;0.073223304703
203;25;1;0;0.073223304703
204;25;1;0;0.000000000000
205;25;1;0;0.500000000000
206;25;1;0;0.426776695297
207;25;1;0;0.426776695297
208;26;2;0;0.250000000000
209;26;2;0;0.250000000000
210;26;2;0;0.426776695297
211;26;2;0;0.426776695297
212;26;2;0;0.500000000000
213;26;2;0;0.000000000000
214;26;2;0;0.073223304703
215;26;2;0;0.073223304703
216;27;0;0;0.250000000000
217;27;0;0;0.426776695297
218;27;0;0;0.500000000000
219;27;0;0;0.426776695297
220;27;0;0;0.250000000000
221;27;0;0;0.073223304703
222;27;0;0;0.000000000000
223;27;0;0;0.073223304703
224;28;0;0;0.250000000000
225;28;0;0;0.426776695297
226;28;0;0;0.500000000000
227;28;0;0;0.426776695297
228;28;0;0;0.250000000000
229;28;0;0;0.073223304703
230;28;0;0;0.000000000000
231;28;0;0;0.073223304703
232;29;0;0;0.250000000000
233;29;0;0;0.426776695297
234;29;0;0;0.500000000000
235;29;0;0;0.426776695297
236;29;0;0;0.250000000000
237;29;0;0;0.073223304703
238;29;0;0;0.000000000000
239;29;0;0;0.073223304703
240;30;1;0;0.250000000000
241;30;1;0;0.250000000000
242;30;1;0;0.073223304703
243;30;1;0;0.073223304703
244;30;1;0;0.000000000000
245;30;1;0;0.500000000000
246;30;1;0;0.426776695297
247;30;1;0;0.426776695297
248;31;0;0;0.250000000000
249;31;0;0;0.426776695297
250;31;0;0;0.500000000000
251;31;0;0;0.426776695297
252;31;0;0;0.250000000000
253;31;0;0;0.073223304703
254;31;0;0;0.000000000000
255;31;0;0;0.073223304703
256;32;2;0;0.250000000000
257;32;2;0;0.250000000000
258;32;2;0;0.426776695297
259;32;2;0;0.426776695297
260;32;2;0;0.500000000000
261;32;2;0;0.000000000000
262;32;2;0;0.073223304703
263;32;2;0;0.073223304703
264;33;2;0;0.250000000000
265;33;2;0;0.250000000000
266;33;2;0;0.426776695297
267;33;2;0;0.426776695297
268;33;2;0;0.500000000000
269;33;2;0;0.000000000000
270;33;2;0;0.073223304703
271;33;2;0;0.073223304703
272;34;1;0;0.250000000000
273;34;1;0;0.250000000000
274;34;1;0;0.073223304703
275;34;1;0;0.073223304703
276;34;1;0;0.000000000000
277;34;1;0;0.500000000000
278;34;1;0;0.426776695297
279;34;1;0;0.426776695297
280;35;0;0;0.250000000000
281;35;0;0;0.426776695297
282;35;0;0;0.500000000000
283;35;0;0;0.426776695297
284;35;0;0;0.250000000000
285;35;0;0;0.073223304703
286;35;0;0;0.000000000000
287;35;0;0;0.073223304703
288;36;0;0;0.250000000000
289;36;0;0;0.426776695297
290;36;0;0;0.500000000000
291;36;0;0;0.426776695297
292;36;0;0;0.250000000000
293;36;0;0;0.073223304703
294;36;0;0;0.000000000000
295;36;0;0;0.073223304703
296;37;0;0;0.250000000000
297;37;0;0;0.426776695297
298;37;0;0;0.500000000000
299;37;0;0;0.426776695297
300;37;0;0;0.250000000000
301;37;0;0;0.073223304703
302;37;0;0;0.000000000000
303;37;0;0;0.073223304703
304;38;2;0;0.250000000000
305;38;2;0;0.250000000000
306;38;2;0;0.426776695297
307;38;2;0;0.426776695297
308;38;2;0;0.500000000000
309;38;2;0;0.000000000000
310;38;2;0;0.073223304703
311;38;2;0;0.073223304703
312;39;0;0;0.250000000000
313;39;0;0;0.426776695297
314;39;0;0;0.500000000000
315;39;0;0;0.426776695297
316;39;0;0;0.250000000000
317;39;0;0;0.073223304703
318;39;0;0;0.000000000000
319;39;0;0;0.073223304703
320;40;1;0;0.250000000000
321;40;1;0;0.250000000000
322;40;1;0;0.073223304703
323;40;1;0;0.073223304703
324;40;1;0;0.000000000000
325;40;1;0;0.500000000000
326;40;1;0;0.426776695297
327;40;1;0;0.426776695297
328;41;0;0;0.250000000000
329;41;0;0;0.426776695297
330;41;0;0;0.500000000000
331;41;0;0;0.426776695297
332;41;0;0;0.250000000000
333;41;0;0;0.073223304703
334;41;0;0;0.000000000000
335;41;0;0;0.073223304703
336;42;2;0;0.250000000000
337;42;2;0;0.250000000000
338;42;2;0;0.426776695297
339;42;2;0;0.426776695297
340;42;2;0;0.500000000000
341;42;2;0;0.000000000000
342;42;2;0;0.073223304703
343;42;2;0;0.073223304703
344;43;2;0;0.250000000000
345;43;2;0;0.250000000000
346;43;2;0;0.426776695297
347;43;2;0;0.426776695297
348;43;2;0;0.500000000000
349;43;2;0;0.000000000000
350;43;2;0;0.073223304703
351;43;2;0;0.073223304703
352;44;1;0;0.250000000000
353;44;1;0;0.250000000000
354;44;1;0;0.073223304703
355;44;1;0;0.073223304703
356;44;1;0;0.000000000000
357;44;1;0;0.500000000000
358;44;1;0;0.426776695297
359;44;1;0;0.426776695297
360;45;2;0;0.250000000000
361;45;2;0;0.250000000000
362;45;2;0;0.426776695297
363;45;2;0;0.426776695297
364;45;2;0;0.500000000000
365;45;2;0;0.000000000000
366;45;2;0;0.073223304703
367;45;2;0;0.073223304703
368;46;2;0;0.250000000000
369;46;2;0;0.250000000000
370;46;2;0;0.426776695297
371;46;2;0;0.426776695297
372;46;2;0;0.500000000000
373;46;2;0;0.000000000000
374;46;2;0;0.073223304703
375;46;2;0;0.073223304703
376;47;1;0;0.250000000000
377;47;1;0;0.250000000000
378;47;1;0;0.073223304703
379;47;1;0;0.073223304703
380;47;1;0;0.000000000000
381;47;1;0;0.500000000000
382;47;1;0;0.426776695297
383;47;1;0;0.426776695297
384;48;0;0;0.250000000000
385;48;0;0;0.426776695297
386;48;0;0;0.500000000000
387;48;0;0;0.426776695297
388;48;0;0;0.250000000000
389;48;0;0;0.073223304703
390;48;0;0;0.000000000000
391;48;0;0;0.073223304703
392;49;1;0;0.250000000000
393;49;1;0;0.250000000000
394;49;1;0;0.073223304703
395;49;1;0;0.073223304703
396;49;1;0;0.000000000000
397;49;1;0;0.500000000000
398;49;1;0;0.426776695297
399;49;1;0;0.426776695297
