n;block;class;phase;u
0;0;2;0;0.000000000000
1;0;2;0;0.062500000000
2;0;2;0;0.125000000000
3;0;2;0;0.187500000000
4;0;2;0;0.250000000000
5;0;2;0;0.312500000000
6;0;2;0;0.375000000000
7;0;2;0;0.437500000000
8;0;2;0;0.500000000000
9;0;2;0;0.437500000000
10;0;2;0;0.375000000000
11;0;2;0;0.312500000000
12;0;2;0;0.250000000000
13;0;2;0;0.187500000000
14;0;2;0;0.125000000000
15;0;2;0;0.062500000000
16;1;0;0;0.250000000000
17;1;0;0;0.345670858091
18;1;0;0;0.426776695297
19;1;0;0;0.480969883128
20;1;0;0;0.500000000000
21;1;0;0;0.480969883128
22;1;0;0;0.426776695297
23;1;0;0;0.345670858091
24;1;0;0;0.250000000000
25;1;0;0;0.154329141909
26;1;0;0;0.073223304703
27;1;0;0;0.019030116872
28;1;0;0;0.000000000000
29;1;0;0;0.019030116872
30;1;0;0;0.073223304703
31;1;0;0;0.154329141909
32;2;1;0;0.500000000000
33;2;1;0;0.500000000000
34;2;1;0;0.500000000000
35;2;1;0;0.500000000000
36;2;1;0;0.500000000000
37;2;1;0;0.500000000000
38;2;1;0;0.500000000000
39;2;1;0;0.500000000000
40;2;1;0;0.000000000000
41;2;1;0;0.000000000000
42;2;1;0;0.000000000000
43;2;1;0;0.000000000000
44;2;1;0;0.000000000000
45;2;1;0;0.000000000000
46;2;1;0;0.000000000000
47;2;1;0;0.000000000000
48;3;1;0;0.500000000000
49;3;1;0;0.500000000000
50;3;1;0;0.500000000000
51;3;1;0;0.500000000000
52;3;1;0;0.500000000000
53;3;1;0;0.500000000000
54;3;1;0;0.500000000000
55;3;1;0;0.500000000000
56;3;1;0;0.000000000000
57;3;1;0;0.000000000000
58;3;1;0;0.000000000000
59;3;1;0;0.000000000000
60;3;1;0;0.000000000000
61;3;1;0;0.000000000000
62;3;1;0;0.000000000000
63;3;1;0;0.000000000000
64;4;2;0;0.000000000000
65;4;2;0;0.062500000000
66;4;2;0;0.125000000000
67;4;2;0;0.187500000000
68;4;2;0;0.250000000000
69;4;2;0;0.312500000000
70;4;2;0;0.375000000000
71;4;2;0;0.437500000000
72;4;2;0;0.500000000000
73;4;2;0;0.437500000000
74;4;2;0;0.375000000000
75;4;2;0;0.312500000000
76;4;2;0;0.250000000000
77;4;2;0;0.187500000000
78;4;2;0;0.125000000000
79;4;2;0;0.062500000000
80;5;0;0;0.250000000000
81;5;0;0;0.345670858091
82;5;0;0;0.426776695297
83;5;0;0;0.480969883128
84;5;0;0;0.500000000000
85;5;0;0;0.480969883128
86;5;0;0;0.426776695297
87;5;0;0;0.345670858091
88;5;0;0;0.250000000000
89;5;0;0;0.154329141909
90;5;0;0;0.073223304703
91;5;0;0;0.019030116872
92;5;0;0;0.000000000000
93;5;0;0;0.019030116872
94;5;0;0;0.073223304703
95;5;0;0;0.154329141909
96;6;0;0;0.250000000000
97;6;0;0;0.345670858091
98;6;0;0;0.426776695297
99;6;0;0;0.480969883128
100;6;0;0;0.500000000000
101;6;0;0;0.480969883128
102;6;0;0;0.426776695297
103;6;0;0;0.345670858091
104;6;0;0;0.250000000000
105;6;0;0;0.154329141909
106;6;0;0;0.073223304703
107;6;0;0;0.019030116872
108;6;0;0;0.000000000000
109;6;0;0;0.019030116872
