Window;Sample;Input_AC0;Population;Deaths_This_Window;Births_This_Window
0;0;1.0000e+00;995;0;0
0;1;1.0000e+00;993;8;6
0;2;1.0000e+00;994;14;13
0;3;1.0000e+00;990;26;21
0;4;1.0000e+00;990;31;26
0;5;1.0000e+00;995;34;34
0;6;1.0000e+00;990;44;39
0;7;1.0000e+00;993;45;43
0;8;1.0000e+00;984;55;44
0;9;1.0000e+00;981;62;48
0;10;1.0000e+00;981;67;53
0;11;1.0000e+00;980;72;57
0;12;1.0000e+00;981;77;63
0;13;1.0000e+00;978;84;67
0;14;1.0000e+00;977;88;70
1;0;1.0000e+00;980;0;0
1;1;1.0000e+00;975;8;3
1;2;1.0000e+00;971;14;5
1;3;1.0000e+00;971;19;10
1;4;1.0000e+00;968;26;14
1;5;1.0000e+00;971;31;22
1;6;1.0000e+00;973;34;27
1;7;1.0000e+00;975;40;35
1;8;1.0000e+00;976;45;41
1;9;1.0000e+00;976;53;49
1;10;1.0000e+00;979;62;61
1;11;1.0000e+00;977;66;63
1;12;1.0000e+00;981;69;70
1;13;1.0000e+00;979;74;73
1;14;1.0000e+00;975;84;79
2;0;0.0000e+00;977;0;0
2;1;0.0000e+00;977;7;7
2;2;0.0000e+00;976;13;12
2;3;0.0000e+00;977;22;22
2;4;0.0000e+00;980;26;29
2;5;0.0000e+00;981;35;39
2;6;0.0000e+00;986;39;48
2;7;0.0000e+00;987;47;57
2;8;0.0000e+00;994;52;69
2;9;0.0000e+00;996;60;79
2;10;0.0000e+00;993;67;83
2;11;0.0000e+00;999;70;92
2;12;0.0000e+00;996;80;99
2;13;0.0000e+00;996;88;107
2;14;0.0000e+00;997;95;115
3;0;0.0000e+00;994;0;0
3;1;0.0000e+00;996;5;7
3;2;0.0000e+00;1000;9;15
3;3;0.0000e+00;997;16;19
3;4;0.0000e+00;1005;21;32
3;5;0.0000e+00;1008;24;38
3;6;0.0000e+00;1012;28;46
3;7;0.0000e+00;1014;35;55
3;8;0.0000e+00;1020;38;64
3;9;0.0000e+00;1021;45;72
3;10;0.0000e+00;1022;51;79
3;11;0.0000e+00;1020;62;88
3;12;0.0000e+00;1020;69;95
3;13;0.0000e+00;1020;79;105
3;14;0.0000e+00;1020;83;109
4;0;1.0000e+00;1018;0;0
4;1;1.0000e+00;1018;8;8
4;2;1.0000e+00;1023;11;16
4;3;1.0000e+00;1027;16;25
4;4;1.0000e+00;1023;22;27
4;5;1.0000e+00;1029;27;38
4;6;1.0000e+00;1030;35;47
4;7;1.0000e+00;1031;40;53
4;8;1.0000e+00;1029;50;61
4;9;1.0000e+00;1024;62;68
4;10;1.0000e+00;1026;70;78
4;11;1.0000e+00;1028;75;85
4;12;1.0000e+00;1030;83;95
4;13;1.0000e+00;1022;95;99
4;14;1.0000e+00;1028;99;109
