ConditionID,SourcePosition,Flow,Diffusion,Decay,ChemicalBoundary,PayloadRule,ReasonIncluded,ExpectedTransportRegime,CalibrationStatus,RequiredControls
PRI_CENTER_F0p0,"CENTER (500,250,5) um",0 um/s,159 um^2/s,0.0033 1/s,NO_FLUX,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Frozen claim condition,STRONG,FROZEN_CLAIM_REFERENCE,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_CENTER_F0p666667,"CENTER (500,250,5) um",0.666667 um/s,159 um^2/s,0.0033 1/s,OUTFLOW,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,INTERMEDIATE,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_UPSTREAM_CENTER_F0p0,"UPSTREAM_CENTER (200,250,5) um",0 um/s,159 um^2/s,0.0033 1/s,NO_FLUX,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,STRONG,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_UPSTREAM_CENTER_F0p666667,"UPSTREAM_CENTER (200,250,5) um",0.666667 um/s,159 um^2/s,0.0033 1/s,OUTFLOW,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,STRONG,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_DOWNSTREAM_CENTER_F0p0,"DOWNSTREAM_CENTER (800,250,5) um",0 um/s,159 um^2/s,0.0033 1/s,NO_FLUX,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,INTERMEDIATE,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_DOWNSTREAM_CENTER_F0p666667,"DOWNSTREAM_CENTER (800,250,5) um",0.666667 um/s,159 um^2/s,0.0033 1/s,OUTFLOW,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,WEAK,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_CENTER_F1p0,"CENTER (500,250,5) um",1 um/s,159 um^2/s,0.0033 1/s,OUTFLOW,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,WEAK,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_CENTER_F0p5,"CENTER (500,250,5) um",0.5 um/s,159 um^2/s,0.0033 1/s,OUTFLOW,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,INTERMEDIATE,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
PRI_CENTER_F0p25,"CENTER (500,250,5) um",0.25 um/s,159 um^2/s,0.0033 1/s,OUTFLOW,PRIMARY_FIXED_COMMANDED_AHL_PAYLOAD,Predeclared layout-by-flow factorial survivor,STRONG,EXPLORATORY_ENGINEERING_NOT_BIOLOGICALLY_CALIBRATED,driven living cells; silent cells; Brownian density; field-only; unmasked kinetic surrogate; occupancy-masked surrogate; direct-input baseline
HISTORICAL_CENTER_F8_ANCHOR,"CENTER (500,250,5) um",8 um/s,159 um^2/s,0.0033 1/s,OUTFLOW,HISTORICAL_FIXED_PAYLOAD_ANCHOR_NO_NEW_RUN_REQUIRED,Known occupancy-destroying flow anchor; excluded from promotion,DEAD_WASHOUT_ANCHOR,HISTORICAL_ANCHOR_NOT_NEW_LIVING_RUN,Existing historical evidence; rerun only if implementation comparability fails
