ConditionID,Family,SourcePosition,SourceX_um,SourceY_um,Flow_um_s,TransitTime_s,Diffusion_um2_s,Decay_s_1,DecayTime_s,ChemicalBoundary,PayloadRule,RangeStatus,Notes
PRI_CENTER_F0p0,PRIMARY_FACTORIAL,CENTER,500,250,0,inf,159,0.0033,303.030303,NO_FLUX,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CENTER_F0p25,PRIMARY_FACTORIAL,CENTER,500,250,0.25,4000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CENTER_F0p5,PRIMARY_FACTORIAL,CENTER,500,250,0.5,2000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CENTER_F0p666667,PRIMARY_FACTORIAL,CENTER,500,250,0.666667,1499.99925,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CENTER_F1p0,PRIMARY_FACTORIAL,CENTER,500,250,1,1000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CENTER_F2p0,PRIMARY_FACTORIAL,CENTER,500,250,2,500,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CENTER_F3p333333,PRIMARY_FACTORIAL,CENTER,500,250,3.33333,300.00003,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CENTER_F8p0,PRIMARY_FACTORIAL,CENTER,500,250,8,125,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F0p0,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,0,inf,159,0.0033,303.030303,NO_FLUX,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F0p25,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,0.25,4000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F0p5,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,0.5,2000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F0p666667,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,0.666667,1499.99925,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F1p0,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,1,1000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F2p0,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,2,500,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F3p333333,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,3.33333,300.00003,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_CENTER_F8p0,PRIMARY_FACTORIAL,UPSTREAM_CENTER,200,250,8,125,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_DOWNSTREAM_CENTER_F0p0,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,0,inf,159,0.0033,303.030303,NO_FLUX,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_DOWNSTREAM_CENTER_F0p25,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,0.25,4000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_DOWNSTREAM_CENTER_F0p5,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,0.5,2000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_DOWNSTREAM_CENTER_F0p666667,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,0.666667,1499.99925,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_DOWNSTREAM_CENTER_F1p0,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,1,1000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_DOWNSTREAM_CENTER_F2p0,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,2,500,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_DOWNSTREAM_CENTER_F3p333333,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,3.33333,300.00003,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
