ConditionID,DecisionGrade,Drive,Windows,InitialMass_molecules,InjectedMass_molecules,RemainingMass_molecules,DecayLoss_molecules,BoundaryLoss_molecules,MassResidual_molecules,MassResidualFraction,MinAHL_uM,PeakAHL_uM,MeanAHL_uM,PlumeCoverage_H_ge_0p10,WallInteriorRatio,WallMassFraction,MeanH,VarH,MeanR,VarR,MeanL,VarL,WeakFraction_H_lt_0p05,SaturatedFraction_H_gt_0p90,Lag1MeanC,Lag1MeanR,Lag1MeanL,NearProbeWindowEnd_uM,MiddleProbeWindowEnd_uM,FarProbeWindowEnd_uM,MemoryR2Delay1to10,LinearMemorySumPositiveR2,NumericalFailure,C_t37_s,C_t14_s,C_t5_s,C_t1_s,R_t37_s,R_t14_s,R_t5_s,R_t1_s,L_t37_s,L_t14_s,L_t5_s,L_t1_s,CResidual30,RResidual30,LResidual30,Exclusions,EligibleForPromotion
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,SINGLE_PULSE,12,3220247566.9440455,9600000000.0,97766.40885388973,12820149800.535206,0.0,-1.33514404296875e-05,1.0414339005522087e-15,3.2462952354259054e-05,75.67930333468303,0.3528192023105044,0.18489583333333334,0.7593120566440494,0.09125298420945875,0.0785194129023377,0.03422702383036608,0.08006670181960898,0.03446480024627324,0.22996109009761276,0.02850923915315434,0.7864583333333334,0.007166666666666667,1.0,0.9928363699894807,0.9936023166929958,2.2776983|0.67595149|0.24184575|0.089370399|0.033187985|0.01233261|0.004582983|0.0017030566|0.00063284658|0.00023515816|8.7380947e-05|3.2469107e-05,1.8583406|0.6609356|0.24297948|0.089895687|0.033324757|0.012365195|0.0045905935|0.0017048257|0.00063325731|0.0002352535|8.7403074e-05|3.2474243e-05,1.2728141|0.63178794|0.24221014|0.090056117|0.033381195|0.012379382|0.0045939478|0.0017056076|0.00063343901|0.00023529568|8.7412864e-05|3.2476515e-05,,nan,False,144.22410053010114,420.18904993382546,731.5364565553073,1219.215289950199,431.0849499164239,606.7482325389996,772.6601565678397,1020.744308807076,1978.5798710342533,3436.381690946072,4980.810791115622,7394.967619069922,3.359913962319982e-14,3.067042771736026e-26,0.0029522379171854386,,True
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,STEP_ON_OFF,12,3220247566.9440455,38400000000.0,16650732.8868822,41603596834.057175,0.0,-7.62939453125e-06,1.8330968644476485e-16,0.005518566998990027,76.63163595462616,1.1393401800238212,0.483725,0.7112619902545979,0.08597486847128596,0.2523479239856624,0.09036803527099811,0.25431278209805175,0.08988404642091086,0.35519169114799903,0.024111520966610265,0.448,0.0337875,0.7399463569452022,0.7242293420153739,0.8541202733381852,0.41215607|0.14836066|1.9204178|2.4135138|2.5876768|2.6519073|0.81021097|0.29148112|0.10780387|0.040037901|0.014878143|0.0055289142,0.40500693|0.14907825|1.5085106|1.9856493|2.1605854|2.2252495|0.79587678|0.29290793|0.10840482|0.040192666|0.014914929|0.005537501,0.39026485|0.14874175|0.93782258|1.386086|1.5601322|1.6249183|0.76637698|0.29223123|0.10859663|0.040256946|0.014930968|0.0055412869,,nan,False,144.22410053010114,420.18904993382546,731.5364565553073,1219.215289950199,431.0849499164239,606.7482325389996,772.6601565678397,1020.744308807076,1978.5798710342533,3436.381690946072,4980.810791115622,7394.967619069922,3.359913962319982e-14,3.067042771736026e-26,0.0029522379171854386,,True
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,ALTERNATING_BINARY,12,3220247566.9440455,57600000000.0,1744818139.0471318,59075429427.89694,0.0,-3.0517578125e-05,5.017667527809666e-16,0.43066772406405307,75.67930333468303,1.6154338042123493,0.9665791666666667,0.6961861168006513,0.08430618223094745,0.3834849658829975,0.058232633436508384,0.3855112160167055,0.056302681277320826,0.4071323636811826,0.02582672089275008,0.0,0.0369,-0.989636762608301,-0.9918603237467017,0.49214002139626917,2.2776983|0.67595149|2.107388|0.61696122|2.0857004|0.60891308|2.0827099|0.60780173|2.0822969|0.60764826|2.0822399|0.60762707,1.8583406|0.6609356|1.6963131|0.60175303|1.6744608|0.59365987|1.6714595|0.59254598|1.6710459|0.59239237|1.6709888|0.59237117,1.2728141|0.63178794|1.1247594|0.57310231|1.1028672|0.56499109|1.0998612|0.56387609|1.0994473|0.56372242|1.0993902|0.56370122,,nan,False,144.22410053010114,420.18904993382546,731.5364565553073,1219.215289950199,431.0849499164239,606.7482325389996,772.6601565678397,1020.744308807076,1978.5798710342533,3436.381690946072,4980.810791115622,7394.967619069922,3.359913962319982e-14,3.067042771736026e-26,0.0029522379171854386,,True
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,FIXED_RANDOM,64,3220247566.9440455,306282950400.0,4831359041.307407,304671838925.6366,0.0,0.0,0.0,0.18596394766805377,73.28238352492482,1.5607847286730974,0.88618828125,0.6885852405174155,0.08346256014991696,0.38634519423895625,0.06010213933394217,0.3875294277388438,0.05894740070961827,0.38681822709299923,0.031287483682931876,0.04433046875,0.02991015625,0.3831117300619506,0.37901752683502865,0.9367417398386476,2.1971218|1.8533399|1.2069258|1.6655572|1.4570687|1.4767734|1.7508056|2.2199367|1.8696052|0.83485386|1.9028482|0.8357766|1.9586822|1.4137069|0.58765231|1.3988328|1.8520248|2.3506442|1.6214145|0.69990499|0.78549753|0.26087682|1.4001084|0.56431521|0.32635485|1.4992381|0.91079057|0.41345061|1.223396|0.68056242|0.29272681|1.0847418|1.4563924|2.1757204|1.3965224|1.8844323|1.4722784|1.0032436|1.3651905|0.68329938|1.9005122|1.4658679|1.0772371|1.1209772|0.59861855|0.46476041|1.7997738|1.7931353|1.2313151|1.4793606|0.93618853|0.34839401|0.94293248|1.7366798|1.7090038|1.8247635|1.1682212|1.5401775|0.56556853|1.6457893|2.1760864|1.6569461|2.2816098|1.9988458,1.7955682|1.5738137|1.0578719|1.3785022|1.2359206|1.2427225|1.4561024|1.8363804|1.590819|0.76944952|1.543432|0.76203838|1.5859543|1.2151821|0.54950706|1.133757|1.5242295|1.9422827|1.4051087|0.65193646|0.66399442|0.252568|1.1114151|0.51802535|0.29530121|1.1910617|0.7936385|0.38265018|0.98350571|0.60033921|0.27425918|0.8670368|1.1961238|1.7819748|1.2172362|1.5608962|1.261207|0.87644854|1.1304328|0.61501249|1.5285806|1.2510752|0.93311277|0.94406794|0.53637269|0.40377901|1.4327544|1.4982861|1.0698195|1.2338604|0.82014341|0.33416657|0.76176683|1.4074898|1.4325781|1.5275477|1.0229237|1.2781106|0.53427206|1.325244|1.7899178|1.4211704|1.8845245|1.6948111,1.234695|1.1787025|0.84470569|0.97678732|0.92374866|0.9133802|1.0427279|1.298926|1.196665|0.67210783|1.0429431|0.65310619|1.0668805|0.93319321|0.49153634|0.76477084|1.0653303|1.3699923|1.0969267|0.57966709|0.49347157|0.23842245|0.71086207|0.44880745|0.25023662|0.76328472|0.62590499|0.33663055|0.64996322|0.4848242|0.24621586|0.56464884|0.83178717|1.2313379|0.9609171|1.1078303|0.96215765|0.69558783|0.80188347|0.51558572|1.0111894|0.94671909|0.72815553|0.69530052|0.4462169|0.31728843|0.92299194|1.083367|0.83951678|0.88949745|0.65416847|0.31116931|0.50984131|0.94830686|1.0433659|1.1096754|0.81508854|0.91109377|0.48543728|0.87948098|1.2492514|1.0866309|1.3286524|1.2655423,0.99999212|0.98905782|0.67631616|0.10596351|0.18391696|-0.11074334|0.18096993|0.010262439|-0.38879099|-0.36002488,3.146478945248984,False,144.22410053010114,420.18904993382546,731.5364565553073,1219.215289950199,431.0849499164239,606.7482325389996,772.6601565678397,1020.744308807076,1978.5798710342533,3436.381690946072,4980.810791115622,7394.967619069922,3.359913962319982e-14,3.067042771736026e-26,0.0029522379171854386,,True
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,SINGLE_PULSE,12,2999173786.710497,9600000000.0,32808.7957160352,11920728548.921007,678412428.9937929,-1.8477439880371094e-05,1.466559648527187e-15,6.481564630281078e-06,75.05615601650102,0.32766576511665335,0.1632,0.737206431445828,0.08883235722082669,0.07207440320879578,0.032925127022226094,0.07351419566634747,0.0331397054794034,0.2155966157584362,0.02971772310833245,0.8028125,0.006925,0.9999951451363243,0.9938462732511874,0.9941023498860636,2.101392|0.58685176|0.19280281|0.064903064|0.021919042|0.007405116|0.0025017331|0.00084515643|0.0002855118|9.6450727e-05|3.258245e-05|1.1006776e-05,2.0775412|0.68198255|0.22854649|0.076923572|0.025934128|0.0087509591|0.002954254|0.00099760656|0.00033692985|0.00011380447|3.844165e-05|1.2985477e-05,1.5718104|0.70106403|0.24304805|0.082067986|0.02765882|0.0093282004|0.0031480745|0.0010628458|0.00035892223|0.00012122473|4.0946542e-05|1.3831315e-05,,nan,False,141.12397645244596,400.15553514625896,684.617551728447,1129.0101053080245,414.27079787864494,579.1315347365593,732.0154633616756,958.6375872735142,1958.7103898917642,3416.505244821009,4960.934308006256,7375.091183812706,1.9039945705699587e-15,1.0602944438162424e-28,0.0029133759541321164,,True
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,STEP_ON_OFF,12,2999173786.710497,38400000000.0,8865035.255097419,39418834328.25441,1971474423.2010183,-2.956390380859375e-05,7.141182082740991e-16,0.0017489591112985054,75.95857944449324,1.0782211347112296,0.4496041666666667,0.6931192245629029,0.08396597449374207,0.2355562166622866,0.09046103795600333,0.23742852515217894,0.09002331450684456,0.33424340926358703,0.02914330889504429,0.4854583333333333,0.03241666666666667,0.7311702411337927,0.712634358265537,0.854853993817503,0.35138785|0.11592394|1.7890492|2.2341191|2.3791448|2.4279108|0.69437395|0.22900945|0.077131239|0.026050213|0.0088007829|0.0029732285,0.40969323|0.13740392|1.7141093|2.2280257|2.3999759|2.4578134|0.80945845|0.27145612|0.091390838|0.030815941|0.010399043|0.0035107913,0.42363189|0.14619974|1.1975299|1.7196776|1.9023503|1.9640662|0.83668123|0.28882795|0.097497036|0.032862567|0.011084393|0.0037410035,,nan,False,141.12397645244596,400.15553514625896,684.617551728447,1129.0101053080245,414.27079787864494,579.1315347365593,732.0154633616756,958.6375872735142,1958.7103898917642,3416.505244821009,4960.934308006256,7375.091183812706,1.9039945705699587e-15,1.0602944438162424e-28,0.0029133759541321164,,True
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,ALTERNATING_BINARY,12,2999173786.710497,57600000000.0,1526618811.9350617,56371446250.333,2701108724.4424644,-2.8133392333984375e-05,4.642537278314193e-16,0.22166986803268984,75.05615601650102,1.5397868424574077,0.8623375,0.6801229621585391,0.08252150040718832,0.3590571405059469,0.06663974912891868,0.36108175533577563,0.06467520601035662,0.38326419517606525,0.03278188066319612,0.04399583333333333,0.03590416666666667,-0.991685370723191,-0.9938766639044929,0.4278572006367011,2.101392|0.58685176|1.942807|0.53583089|1.9256809|0.53004893|1.9237276|0.52938899|1.9235046|0.52931367|1.9234792|0.52930507,2.0775412|0.68198255|1.8963945|0.62150221|1.8760673|0.61465406|1.8737574|0.61387446|1.8734942|0.61378557|1.8734642|0.61377543,1.5718104|0.70106403|1.3912265|0.63693227|1.3695339|0.62962558|1.367071|0.62879469|1.3667905|0.62869999|1.3667586|0.62868919,,nan,False,141.12397645244596,400.15553514625896,684.617551728447,1129.0101053080245,414.27079787864494,579.1315347365593,732.0154633616756,958.6375872735142,1958.7103898917642,3416.505244821009,4960.934308006256,7375.091183812706,1.9039945705699587e-15,1.0602944438162424e-28,0.0029133759541321164,,True
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,FIXED_RANDOM,64,2999173786.710497,306282950400.0,4495920489.827413,291151164595.6888,13635039101.193586,0.0007495880126953125,2.423638335601943e-15,0.09237750965595881,72.66877334453794,1.489845533246947,0.81653671875,0.6728009196291901,0.08170568139407243,0.3642290583622338,0.06661588027378208,0.36544746899201375,0.06540250407992214,0.3651778419221252,0.037099028944836514,0.08262578125,0.0289328125,0.3535251161044682,0.3464095475792255,0.9321950635102677,2.0258058|1.6923574|1.0836149|1.5219678|1.3257314|1.3455194|1.6032608|2.0400848|1.703332|0.7325291|1.7485261|0.7425285|1.8048537|1.2854133|0.5113735|1.2844742|1.7065508|2.1651577|1.4694593|0.60825052|0.70368474|0.21937405|1.2978852|0.50448151|0.28511578|1.391963|0.82846409|0.36162368|1.1289989|0.61403693|0.25274852|1.0029814|1.3456054|2.011049|1.2658288|1.7257553|1.335837|0.89875918|1.24651|0.60692854|1.7566306|1.3381724|0.97164405|1.0177532|0.53049425|0.41273257|1.6713298|1.6509257|1.1145303|1.3503326|0.8405484|0.29555404|0.86483309|1.6081902|1.5699521|1.6715189|1.051231|1.4066047|0.49202983|1.5168973|2.007686|1.5084102|2.0943033|1.8223654,2.0055035|1.7314528|1.1375999|1.5205913|1.3539352|1.3642162|1.6100326|2.0404775|1.7449097|0.80388452|1.7173868|0.80851337|1.7711775|1.3290243|0.56845577|1.2604776|1.7003918|2.1645378|1.5293849|0.67340924|0.71353485|0.2519172|1.2533503|0.55346596|0.30687737|1.3457959|0.86768282|0.39808706|1.1012633|0.64954651|0.28114409|0.97384364|1.3391289|1.9961447|1.3246637|1.7262268|1.3759022|0.94025503|1.245758|0.65254746|1.7150115|1.3756324|1.0096388|1.0317337|0.56760284|0.42875786|1.6190568|1.6675495|1.1623133|1.3582483|0.88227927|0.33603141|0.84596164|1.5821999|1.5893673|1.6885957|1.1031885|1.4085245|0.55284757|1.481253|2.0000336|1.5564187|2.090799|1.8611432,1.5222182|1.4157663|0.98169085|1.1799301|1.1030954|1.0941917|1.2636818|1.5865488|1.430914|0.75370779|1.2794887|0.7469653|1.316521|1.1111046|0.54501502|0.93710156|1.3101981|1.6808969|1.2964037|0.64135714|0.57315398|0.25467771|0.89425636|0.51788794|0.27815651|0.9630693|0.74444959|0.37538927|0.80637607|0.5684993|0.26998953|0.70473702|1.0287465|1.5242804|1.1351712|1.3429901|1.1415327|0.80591862|0.96734495|0.58937185|1.2583889|1.1361174|0.85339673|0.82748172|0.50819355|0.36254873|1.1643649|1.3252704|0.98938685|1.0703592|0.7609996|0.33456345|0.62402038|1.1826602|1.2697683|1.3431581|0.95111006|1.0987137|0.53930783|1.0876776|1.540226|1.2958353|1.6190323|1.5162354,0.99999585|0.99368756|0.75211495|0.10832963|0.22021371|-0.10540378|0.18250477|-0.036506363|-0.41341022|-0.35361724,3.256846453962101,False,141.12397645244596,400.15553514625896,684.617551728447,1129.0101053080245,414.27079787864494,579.1315347365593,732.0154633616756,958.6375872735142,1958.7103898917642,3416.505244821009,4960.934308006256,7375.091183812706,1.9039945705699587e-15,1.0602944438162424e-28,0.0029133759541321164,,True
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,SINGLE_PULSE,12,2720123856.4721923,9600000000.0,6780.699536808919,10858097261.276062,1462019814.4965928,7.152557373046875e-07,5.805588853142402e-17,7.845302490359408e-07,74.28203438681093,0.2979406781704609,0.13659583333333333,0.7265386061377254,0.08765958172898954,0.06493357365613797,0.03157333223784751,0.06624918948631352,0.03175174504307627,0.19961824587204807,0.03045584634682419,0.832025,0.006570833333333333,0.9999821841189581,0.9949703491179253,0.9948341520032727,1.8323339|0.4569802|0.13171897|0.038687651|0.011387729|0.0033525837|0.00098698775|0.00029055743|8.5535154e-05|2.5179665e-05|7.4123946e-06|2.1818611e-06,2.1834381|0.63091276|0.18453222|0.05414714|0.015912571|0.0046800433|0.0013770287|0.00040526057|0.00011928303|3.5111868e-05|1.0335701e-05|3.0427432e-06,1.8297246|0.70364222|0.2115782|0.062206493|0.01827213|0.0053715894|0.0015800863|0.00046495323|0.00013684201|4.0278561e-05|1.1856357e-05|3.4901665e-06,,nan,False,138.06511799221678,378.9474146314701,633.0422723846486,1027.4331045594372,396.7353904823896,549.7175140559158,687.7819863808128,889.8596445853785,1935.7110227024614,3393.5028500181224,4937.931913630472,7352.088788090684,1.1920578271163817e-11,2.3009438822253787e-20,0.0028690403482157733,,True
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,STEP_ON_OFF,12,2720123856.4721923,38400000000.0,3571570.1320936466,36738221149.99862,4378331136.341474,2.86102294921875e-06,6.957719678094872e-17,0.0004128233649552319,75.07695757892266,1.0032046348071344,0.3944,0.6848423378369979,0.08304656352200031,0.21612409009466418,0.09092435884254818,0.21789275553850262,0.09051210117505275,0.3103320059806598,0.03406159033909045,0.5364375,0.0306625,0.7190232255035844,0.6979575892634855,0.8564689769283379,0.26709035|0.077200569|1.5879257|1.9516999|2.0560256|2.0866496|0.53041986|0.15329394|0.045038386|0.013257404|0.0039030077|0.0011490258,0.36952388|0.10813492|1.8456519|2.3460203|2.4922304|2.535113|0.73379792|0.21472516|0.063020655|0.01852244|0.0054479688|0.0016030317,0.4138303|0.12401836|1.4523529|2.0062287|2.1737868|2.2230602|0.82163525|0.24626427|0.072395473|0.021267588|0.0062527445|0.001839377,,nan,False,138.06511799221678,378.9474146314701,633.0422723846486,1027.4331045594372,396.7353904823896,549.7175140559158,687.7819863808128,889.8596445853785,1935.7110227024614,3393.5028500181224,4937.931913630472,7352.088788090684,1.1920578271163817e-11,2.3009438822253787e-20,0.0028690403482157733,,True
