clock,delta_t_sample,task,model,development_m,selected_on_validation,n_features,lambda,train_nrmse,validation_nrmse,test_nrmse,test_r2,note,seed
BenchA_dt0.02,0.02,AUTO_X,TRAIN_INTERCEPT,,,0,,1,1.89769848,1.658018059,-1.749023884,,
BenchA_dt0.02,0.02,AUTO_X,TEST_MEAN_ORACLE_REFERENCE,,,0,,1.264036381,2.280391062,1,0,non-predictive oracle normalization reference; uses test labels,
BenchA_dt0.02,0.02,AUTO_X,PERSISTENCE_X_N,,,1,,0.1187782439,0.369467255,0.1892531987,0.9641832268,,
BenchA_dt0.02,0.02,AUTO_X,LINEAR_AR,1,FALSE,1,1,0.1184518547,0.3617443677,0.1926711464,0.9628778294,,
BenchA_dt0.02,0.02,AUTO_X,LINEAR_AR,3,FALSE,3,1e-06,0.006964511744,0.01827897648,0.008917437566,0.9999204793,,
BenchA_dt0.02,0.02,AUTO_X,LINEAR_AR,5,FALSE,5,1e-06,0.001236249819,0.004082274626,0.001391824553,0.9999980628,,
BenchA_dt0.02,0.02,AUTO_X,LINEAR_AR,7,FALSE,7,1e-06,0.001043416372,0.004756151724,0.001248773205,0.9999984406,,
BenchA_dt0.02,0.02,AUTO_X,LINEAR_AR,10,FALSE,10,1e-06,0.001007292931,0.004146677048,0.001106461612,0.9999987757,,
BenchA_dt0.02,0.02,AUTO_X,LINEAR_AR_VALIDATION_SELECTED,5,TRUE,5,1e-06,0.001236249819,0.004082274626,0.001391824553,0.9999980628,,
BenchA_dt0.02,0.02,CROSS_Y,TRAIN_INTERCEPT,,,0,,1,1.298084472,1.402483239,-0.9669592365,,
BenchA_dt0.02,0.02,CROSS_Y,TEST_MEAN_ORACLE_REFERENCE,,,0,,1.219849887,1.411369193,1,0,non-predictive oracle normalization reference; uses test labels,
BenchA_dt0.02,0.02,CROSS_Y,SCALAR_LINEAR_X,1,FALSE,1,1,0.6170390328,1.055097483,0.8312082569,0.3090928337,,
BenchA_dt0.02,0.02,CROSS_Y,LINEAR_X_DELAY,3,FALSE,3,1e-06,0.0609044982,0.09085439474,0.06464489767,0.9958210372,,
BenchA_dt0.02,0.02,CROSS_Y,LINEAR_X_DELAY,5,FALSE,5,1e-06,0.01278752846,0.02294216681,0.01183831921,0.9998598542,,
BenchA_dt0.02,0.02,CROSS_Y,LINEAR_X_DELAY,7,FALSE,7,1e-06,0.01068013488,0.02721296655,0.01057346898,0.9998882018,,
BenchA_dt0.02,0.02,CROSS_Y,LINEAR_X_DELAY,10,FALSE,10,1e-06,0.01012915697,0.02367323427,0.009303494846,0.999913445,,
BenchA_dt0.02,0.02,CROSS_Y,LINEAR_X_DELAY_VALIDATION_SELECTED,5,TRUE,5,1e-06,0.01278752846,0.02294216681,0.01183831921,0.9998598542,,
BenchA_dt0.02,0.02,CROSS_Y,EXISTING_DRIVEN_CROSS_Y,,,408,10000,,,0.9901722955,0.01955882525,existing frozen checker score; target alignment permits CROSS_Y only,101
BenchA_dt0.02,0.02,CROSS_Y,EXISTING_DRIVEN_CROSS_Y,,,408,10000,,,0.9965097722,0.006968273904,existing frozen checker score; target alignment permits CROSS_Y only,202
BenchA_dt0.02,0.02,CROSS_Y,EXISTING_DRIVEN_CROSS_Y,,,408,10000,,,0.9819254957,0.03582232089,existing frozen checker score; target alignment permits CROSS_Y only,303
BenchA_dt0.02,0.02,CROSS_Y,EXISTING_FIELD_CROSS_Y,,,200,,,,0.09506454057,0.9909627331,existing frozen checker score; target alignment permits CROSS_Y only,101
BenchA_dt0.02,0.02,CROSS_Y,EXISTING_FIELD_CROSS_Y,,,200,,,,0.09506454057,0.9909627331,existing frozen checker score; target alignment permits CROSS_Y only,202
BenchA_dt0.02,0.02,CROSS_Y,EXISTING_FIELD_CROSS_Y,,,200,,,,0.09506454057,0.9909627331,existing frozen checker score; target alignment permits CROSS_Y only,303
BenchA2_dt1.0,1,AUTO_X,TRAIN_INTERCEPT,,,0,,1,1.15477448,1.004743018,-0.009508531281,,
BenchA2_dt1.0,1,AUTO_X,TEST_MEAN_ORACLE_REFERENCE,,,0,,1.005180672,1.097499303,1,0,non-predictive oracle normalization reference; uses test labels,
BenchA2_dt1.0,1,AUTO_X,PERSISTENCE_X_N,,,1,,1.396861208,1.484467153,1.30544397,-0.7041839584,,
BenchA2_dt1.0,1,AUTO_X,LINEAR_AR,1,FALSE,1,1000000,0.9999999345,1.233329687,1.004742608,-0.009507708009,,
BenchA2_dt1.0,1,AUTO_X,LINEAR_AR,3,FALSE,3,1000000,0.9999973575,1.23335092,1.00474486,-0.009512234175,,
BenchA2_dt1.0,1,AUTO_X,LINEAR_AR,5,FALSE,5,1000000,0.9999957507,1.233350611,1.004744381,-0.009511270176,,
BenchA2_dt1.0,1,AUTO_X,LINEAR_AR,7,FALSE,7,1000000,0.9999952395,1.233351687,1.004743349,-0.009509197203,,
BenchA2_dt1.0,1,AUTO_X,LINEAR_AR,10,FALSE,10,1000000,0.9999935584,1.233353053,1.004742117,-0.009506721933,,
BenchA2_dt1.0,1,AUTO_X,LINEAR_AR_VALIDATION_SELECTED,1,TRUE,1,1000000,0.9999999345,1.233329687,1.004742608,-0.009507708009,,
BenchA2_dt1.0,1,CROSS_Y,TRAIN_INTERCEPT,,,0,,1,1.138289358,1.01302115,-0.0262118511,,
BenchA2_dt1.0,1,CROSS_Y,TEST_MEAN_ORACLE_REFERENCE,,,0,,1.0097931,1.064022086,1,0,non-predictive oracle normalization reference; uses test labels,
BenchA2_dt1.0,1,CROSS_Y,SCALAR_LINEAR_X,1,FALSE,1,1e-06,0.9935353785,1.184037379,1.001916195,-0.00383606151,,
BenchA2_dt1.0,1,CROSS_Y,LINEAR_X_DELAY,3,FALSE,3,1000000,0.9999961831,1.209165524,1.013024553,-0.0262187446,,
BenchA2_dt1.0,1,CROSS_Y,LINEAR_X_DELAY,5,FALSE,5,1000000,0.9999956944,1.209168929,1.013023624,-0.0262168619,,
BenchA2_dt1.0,1,CROSS_Y,LINEAR_X_DELAY,7,FALSE,7,1000000,0.9999920678,1.209169044,1.013023839,-0.02621729932,,
BenchA2_dt1.0,1,CROSS_Y,LINEAR_X_DELAY,10,FALSE,10,1000000,0.9999874718,1.209163895,1.013018683,-0.0262068525,,
BenchA2_dt1.0,1,CROSS_Y,LINEAR_X_DELAY_VALIDATION_SELECTED,1,TRUE,1,1e-06,0.9935353785,1.184037379,1.001916195,-0.00383606151,,
BenchA2_dt1.0,1,CROSS_Y,EXISTING_DRIVEN_CROSS_Y,,,408,1000000,,,1.011768163,-0.02367481517,existing frozen checker score; target alignment permits CROSS_Y only,101
BenchA2_dt1.0,1,CROSS_Y,EXISTING_DRIVEN_CROSS_Y,,,408,1000000,,,1.011681586,-0.0234996322,existing frozen checker score; target alignment permits CROSS_Y only,202
BenchA2_dt1.0,1,CROSS_Y,EXISTING_DRIVEN_CROSS_Y,,,408,1000000,,,1.011673174,-0.0234826117,existing frozen checker score; target alignment permits CROSS_Y only,303
BenchA2_dt1.0,1,CROSS_Y,EXISTING_FIELD_CROSS_Y,,,200,,,,1.012525627,-0.02520814513,existing frozen checker score; target alignment permits CROSS_Y only,101
BenchA2_dt1.0,1,CROSS_Y,EXISTING_FIELD_CROSS_Y,,,200,,,,1.012525627,-0.02520814513,existing frozen checker score; target alignment permits CROSS_Y only,202
BenchA2_dt1.0,1,CROSS_Y,EXISTING_FIELD_CROSS_Y,,,200,,,,1.012525627,-0.02520814513,existing frozen checker score; target alignment permits CROSS_Y only,303
