seed,family,target,offset_windows,n_features,lambda,train_nrmse,validation_nrmse,test_nrmse,test_r2
111,OFFICIAL_BIOLOGY,true,0,408,10000,0.7968780945,0.8253311396,0.9311744826,0.132914083
111,OFFICIAL_BIOLOGY,circular_shift_null,20,408,1000000,0.9999652312,1.228945623,1.179437295,-0.3910723325
111,OFFICIAL_BIOLOGY,circular_shift_null,40,408,100,0.8862730032,1.212827352,1.272986074,-0.6204935437
111,OFFICIAL_BIOLOGY,circular_shift_null,60,408,1000000,0.9982799879,1.021159826,1.155474781,-0.3351219695
111,OFFICIAL_BIOLOGY,circular_shift_null,80,408,100,0.8482111468,1.220120374,1.453343054,-1.112206031
111,OFFICIAL_BIOLOGY,circular_shift_null,100,408,1000000,0.9978647005,1.252505172,1.066890872,-0.1382561327
111,FIELD_ONLY,true,0,200,10000,0.8685892391,0.8437218891,1.028864823,-0.05856282303
111,FIELD_ONLY,circular_shift_null,20,200,1000000,0.9999869996,1.228985407,1.179281582,-0.3907050504
111,FIELD_ONLY,circular_shift_null,40,200,100,0.9735663309,1.226970678,1.147748215,-0.3173259659
111,FIELD_ONLY,circular_shift_null,60,200,1000000,0.9990576551,1.020336024,1.15933879,-0.3440664289
111,FIELD_ONLY,circular_shift_null,80,200,1e-06,0.9624076011,1.245523265,1.343876421,-0.8060038337
111,FIELD_ONLY,circular_shift_null,100,200,1,0.9950727927,1.242227693,1.080005214,-0.1664112632
222,OFFICIAL_BIOLOGY,true,0,408,10000,0.7890142204,0.8140262537,0.9227617724,0.1485107114
222,OFFICIAL_BIOLOGY,circular_shift_null,20,408,1000000,0.9999560885,1.22885392,1.179493921,-0.3912059097
222,OFFICIAL_BIOLOGY,circular_shift_null,40,408,10000,0.9751484386,1.242079934,1.145749343,-0.3127415581
222,OFFICIAL_BIOLOGY,circular_shift_null,60,408,1000000,0.9981025863,1.020992684,1.154906688,-0.3338094584
222,OFFICIAL_BIOLOGY,circular_shift_null,80,408,10000,0.9667196033,1.251887065,1.357962441,-0.8440619924
222,OFFICIAL_BIOLOGY,circular_shift_null,100,408,1000000,0.9976508224,1.251714181,1.066620273,-0.1376788077
222,FIELD_ONLY,true,0,200,10000,0.8685892391,0.8437218891,1.028864823,-0.05856282303
222,FIELD_ONLY,circular_shift_null,20,200,1000000,0.9999869996,1.228985407,1.179281582,-0.3907050504
222,FIELD_ONLY,circular_shift_null,40,200,100,0.9735663309,1.226970678,1.147748215,-0.3173259659
222,FIELD_ONLY,circular_shift_null,60,200,1000000,0.9990576551,1.020336024,1.15933879,-0.3440664289
222,FIELD_ONLY,circular_shift_null,80,200,1e-06,0.9624076011,1.245523265,1.343876421,-0.8060038337
222,FIELD_ONLY,circular_shift_null,100,200,1,0.9950727927,1.242227693,1.080005214,-0.1664112632
333,OFFICIAL_BIOLOGY,true,0,408,10000,0.7925168993,0.8199995408,0.9309934976,0.1332511074
333,OFFICIAL_BIOLOGY,circular_shift_null,20,408,100,0.8952180659,1.213272752,1.175520091,-0.3818474842
333,OFFICIAL_BIOLOGY,circular_shift_null,40,408,10000,0.9762181476,1.244290603,1.137614764,-0.2941673507
333,OFFICIAL_BIOLOGY,circular_shift_null,60,408,1000000,0.9982237362,1.021214746,1.155416209,-0.334986615
333,OFFICIAL_BIOLOGY,circular_shift_null,80,408,100,0.8506391697,1.219678783,1.427827667,-1.038691846
333,OFFICIAL_BIOLOGY,circular_shift_null,100,408,1000000,0.9979017682,1.252077898,1.066963553,-0.1384112245
333,FIELD_ONLY,true,0,200,10000,0.8685892391,0.8437218891,1.028864823,-0.05856282303
333,FIELD_ONLY,circular_shift_null,20,200,1000000,0.9999869996,1.228985407,1.179281582,-0.3907050504
333,FIELD_ONLY,circular_shift_null,40,200,100,0.9735663309,1.226970678,1.147748215,-0.3173259659
333,FIELD_ONLY,circular_shift_null,60,200,1000000,0.9990576551,1.020336024,1.15933879,-0.3440664289
333,FIELD_ONLY,circular_shift_null,80,200,1e-06,0.9624076011,1.245523265,1.343876421,-0.8060038337
333,FIELD_ONLY,circular_shift_null,100,200,1,0.9950727927,1.242227693,1.080005214,-0.1664112632
