seed,family,integration_method,n_features,lambda,train_nrmse,validation_nrmse,test_nrmse,test_r2
111,UNMASKED_RL,linear_dt1,400,0.01,0.6970991994,0.8026623171,0.9114247793,0.1693048717
111,OCCUPANCY_MASKED_RL,linear_dt1,400,10000,0.7946659064,0.8234180383,0.9312463138,0.132780303
111,UNMASKED_R,linear_dt1,200,1,0.8391984167,0.8280218367,0.9818473501,0.03597578109
111,UNMASKED_L,linear_dt1,200,1e-06,0.6590261783,0.8025299086,0.9378870025,0.1203679705
111,MASKED_R,linear_dt1,200,10000,0.8711279406,0.8395719717,1.028902445,-0.05864024188
111,MASKED_L,linear_dt1,200,10000,0.859553548,0.9339735609,0.9828078985,0.0340886347
111,UNMASKED_RL,linear_dt0.5,400,0.01,0.6970992028,0.8026623145,0.91142478,0.1693048703
111,OCCUPANCY_MASKED_RL,linear_dt0.5,400,10000,0.7946659063,0.8234180383,0.9312463137,0.1327803033
111,UNMASKED_R,linear_dt0.5,200,1,0.8391984168,0.8280218365,0.98184735,0.0359757813
111,UNMASKED_L,linear_dt0.5,200,1e-06,0.6590261754,0.8025298971,0.9378869938,0.1203679868
111,MASKED_R,linear_dt0.5,200,10000,0.8711279406,0.8395719716,1.028902445,-0.05864024187
111,MASKED_L,linear_dt0.5,200,10000,0.8595535481,0.933973561,0.9828078984,0.03408863478
111,UNMASKED_RL,zoh_previous,400,0.01,0.6960964076,0.7991190687,0.9117688431,0.1686775768
111,OCCUPANCY_MASKED_RL,zoh_previous,400,10000,0.7968601617,0.8257609531,0.9319274123,0.1315112982
111,UNMASKED_R,zoh_previous,200,1,0.839038646,0.828224812,0.982148875,0.03538358731
111,UNMASKED_L,zoh_previous,200,1e-06,0.6521332147,0.7921350403,0.9296477119,0.1357551318
111,MASKED_R,zoh_previous,200,100,0.8298249607,0.837582332,1.008629609,-0.01733368868
111,MASKED_L,zoh_previous,200,10000,0.8621196298,0.9377529488,0.9850060008,0.02976317841
111,ACTUAL_FRL,actual_or_historical,400,10000,0.7969320964,0.8253207801,0.9308427386,0.1335317961
111,ACTUAL_F408,actual_or_historical,408,10000,0.7968780945,0.8253311396,0.9311744826,0.132914083
111,ACTUAL_FIELD,actual_or_historical,200,10000,0.8685892391,0.8437218891,1.028864823,-0.05856282303
111,ACTUAL_R_ONLY,actual_or_historical,200,10000,0.8709006468,0.8397021295,1.028808063,-0.0584460309
111,ACTUAL_L_ONLY,actual_or_historical,200,10000,0.8590555856,0.930238167,0.9807692302,0.03809171712
222,UNMASKED_RL,linear_dt1,400,0.01,0.6970991994,0.8026623171,0.9114247793,0.1693048717
222,OCCUPANCY_MASKED_RL,linear_dt1,400,10000,0.7913057152,0.819272259,0.9274962499,0.1397507064
222,UNMASKED_R,linear_dt1,200,1,0.8391984167,0.8280218367,0.9818473501,0.03597578109
222,UNMASKED_L,linear_dt1,200,1e-06,0.6590261783,0.8025299086,0.9378870025,0.1203679705
222,MASKED_R,linear_dt1,200,100,0.8296032551,0.8278289254,1.006141575,-0.01232086967
222,MASKED_L,linear_dt1,200,100,0.7510978482,0.8858491972,0.9479911559,0.1013127683
222,UNMASKED_RL,linear_dt0.5,400,0.01,0.6970992028,0.8026623145,0.91142478,0.1693048703
222,OCCUPANCY_MASKED_RL,linear_dt0.5,400,10000,0.7913057151,0.8192722589,0.9274962498,0.1397507066
222,UNMASKED_R,linear_dt0.5,200,1,0.8391984168,0.8280218365,0.98184735,0.0359757813
222,UNMASKED_L,linear_dt0.5,200,1e-06,0.6590261754,0.8025298971,0.9378869938,0.1203679868
222,MASKED_R,linear_dt0.5,200,100,0.8296032549,0.827828925,1.006141575,-0.01232086898
222,MASKED_L,linear_dt0.5,200,100,0.7510978482,0.8858491979,0.9479911561,0.1013127679
222,UNMASKED_RL,zoh_previous,400,0.01,0.6960964076,0.7991190687,0.9117688431,0.1686775768
222,OCCUPANCY_MASKED_RL,zoh_previous,400,10000,0.7934527948,0.8215928942,0.9281537898,0.1385305424
222,UNMASKED_R,zoh_previous,200,1,0.839038646,0.828224812,0.982148875,0.03538358731
222,UNMASKED_L,zoh_previous,200,1e-06,0.6521332147,0.7921350403,0.9296477119,0.1357551318
222,MASKED_R,zoh_previous,200,100,0.8290425226,0.8253281916,1.004102531,-0.008221892424
222,MASKED_L,zoh_previous,200,100,0.754660804,0.8941190543,0.9512150942,0.09518984461
222,ACTUAL_FRL,actual_or_historical,400,10000,0.7893041998,0.8142265574,0.9230766911,0.1479294223
