seed,family,integration_method,n_features,lambda,window_macro_ovr_auc,window_accuracy,sine_auc,square_auc,triangle_auc,block_pooled_macro_auc,confusion
101,UNMASKED_RL,linear_dt1,400,0.01,1,0.98,1,1,1,1,"[[15,0,0],[1,14,0],[0,0,20]]"
101,OCCUPANCY_MASKED_RL,linear_dt1,400,100,0.9047619048,0.88,0.7638095238,0.9771428571,0.9733333333,0.9841269841,"[[11,1,3],[1,14,0],[1,0,19]]"
101,UNMASKED_R,linear_dt1,200,1e-06,0.9936507937,0.96,1,0.980952381,1,1,"[[15,0,0],[2,13,0],[0,0,20]]"
101,UNMASKED_L,linear_dt1,200,0.0001,1,1,1,1,1,1,"[[15,0,0],[0,15,0],[0,0,20]]"
101,MASKED_R,linear_dt1,200,1,0.7138888889,0.48,0.6895238095,0.7238095238,0.7283333333,0.9047619048,"[[10,2,3],[6,4,5],[8,2,10]]"
101,MASKED_L,linear_dt1,200,100,0.8051587302,0.66,0.6476190476,0.8895238095,0.8783333333,0.9682539683,"[[7,3,5],[2,11,2],[5,0,15]]"
101,UNMASKED_RL,linear_dt0.5,400,0.01,1,0.98,1,1,1,1,"[[15,0,0],[1,14,0],[0,0,20]]"
101,OCCUPANCY_MASKED_RL,linear_dt0.5,400,100,0.9047619048,0.88,0.7638095238,0.9771428571,0.9733333333,0.9841269841,"[[11,1,3],[1,14,0],[1,0,19]]"
101,UNMASKED_R,linear_dt0.5,200,1e-06,0.9936507937,0.96,1,0.980952381,1,1,"[[15,0,0],[2,13,0],[0,0,20]]"
101,UNMASKED_L,linear_dt0.5,200,0.0001,1,1,1,1,1,1,"[[15,0,0],[0,15,0],[0,0,20]]"
101,MASKED_R,linear_dt0.5,200,1,0.7138888889,0.48,0.6895238095,0.7238095238,0.7283333333,0.9047619048,"[[10,2,3],[6,4,5],[8,2,10]]"
101,MASKED_L,linear_dt0.5,200,100,0.8051587302,0.66,0.6476190476,0.8895238095,0.8783333333,0.9682539683,"[[7,3,5],[2,11,2],[5,0,15]]"
