n;bit;bit_prev;xor;u
0;0;0;0;0.000000000000
1;1;0;1;0.500000000000
2;0;1;1;0.000000000000
3;0;0;0;0.000000000000
4;0;0;0;0.000000000000
5;1;0;1;0.500000000000
6;0;1;1;0.000000000000
7;0;0;0;0.000000000000
8;0;0;0;0.000000000000
9;0;0;0;0.000000000000
10;0;0;0;0.000000000000
11;1;0;1;0.500000000000
12;1;1;0;0.500000000000
13;1;1;0;0.500000000000
14;1;1;0;0.500000000000
15;1;1;0;0.500000000000
16;0;1;1;0.000000000000
17;0;0;0;0.000000000000
18;1;0;1;0.500000000000
19;0;1;1;0.000000000000
20;0;0;0;0.000000000000
21;0;0;0;0.000000000000
22;0;0;0;0.000000000000
23;1;0;1;0.500000000000
24;1;1;0;0.500000000000
25;0;1;1;0.000000000000
26;0;0;0;0.000000000000
27;1;0;1;0.500000000000
28;0;1;1;0.000000000000
29;1;0;1;0.500000000000
30;1;1;0;0.500000000000
31;0;1;1;0.000000000000
32;1;0;1;0.500000000000
33;0;1;1;0.000000000000
34;0;0;0;0.000000000000
35;1;0;1;0.500000000000
36;1;1;0;0.500000000000
37;1;1;0;0.500000000000
38;1;1;0;0.500000000000
39;0;1;1;0.000000000000
40;1;0;1;0.500000000000
41;1;1;0;0.500000000000
42;1;1;0;0.500000000000
43;0;1;1;0.000000000000
44;1;0;1;0.500000000000
45;1;1;0;0.500000000000
46;0;1;1;0.000000000000
47;0;0;0;0.000000000000
48;0;0;0;0.000000000000
49;0;0;0;0.000000000000
50;1;0;1;0.500000000000
51;0;1;1;0.000000000000
52;0;0;0;0.000000000000
53;0;0;0;0.000000000000
54;1;0;1;0.500000000000
55;0;1;1;0.000000000000
56;0;0;0;0.000000000000
57;0;0;0;0.000000000000
58;0;0;0;0.000000000000
59;1;0;1;0.500000000000
60;1;1;0;0.500000000000
61;1;1;0;0.500000000000
62;0;1;1;0.000000000000
63;0;0;0;0.000000000000
64;1;0;1;0.500000000000
65;0;1;1;0.000000000000
66;1;0;1;0.500000000000
67;1;1;0;0.500000000000
68;0;1;1;0.000000000000
69;1;0;1;0.500000000000
70;1;1;0;0.500000000000
71;1;1;0;0.500000000000
72;0;1;1;0.000000000000
73;0;0;0;0.000000000000
74;1;0;1;0.500000000000
75;1;1;0;0.500000000000
76;1;1;0;0.500000000000
77;0;1;1;0.000000000000
78;1;0;1;0.500000000000
79;1;1;0;0.500000000000
80;0;1;1;0.000000000000
81;1;0;1;0.500000000000
82;1;1;0;0.500000000000
83;1;1;0;0.500000000000
84;0;1;1;0.000000000000
85;0;0;0;0.000000000000
86;1;0;1;0.500000000000
87;1;1;0;0.500000000000
88;1;1;0;0.500000000000
89;0;1;1;0.000000000000
90;1;0;1;0.500000000000
91;0;1;1;0.000000000000
92;0;0;0;0.000000000000
93;1;0;1;0.500000000000
94;0;1;1;0.000000000000
95;1;0;1;0.500000000000
96;1;1;0;0.500000000000
97;1;1;0;0.500000000000
98;0;1;1;0.000000000000
99;1;0;1;0.500000000000
100;0;1;1;0.000000000000
101;0;0;0;0.000000000000
102;1;0;1;0.500000000000
103;1;1;0;0.500000000000
104;1;1;0;0.500000000000
105;0;1;1;0.000000000000
106;0;0;0;0.000000000000
107;0;0;0;0.000000000000
108;0;0;0;0.000000000000
109;0;0;0;0.000000000000
110;1;0;1;0.500000000000
111;0;1;1;0.000000000000
112;0;0;0;0.000000000000
113;1;0;1;0.500000000000
